# <input as hex of its UTF-8 bytes> <TAB> <CPython repr(str)>
# Generated by tests fixture generator; do not edit by hand.
	''
68656c6c6f	'hello'
626c7565	'blue'
23663566356637	'#f5f5f7'
31383a3030	'18:00'
69742773	"it's"
7361792022686922	'say "hi"'
626f7468202720616e642022	'both \' and "'
6261636b5c736c617368	'back\\slash'
7461620968657265	'tab\there'
6e65770a6c696e65	'new\nline'
7265740d75726e	'ret\rurn'
62656c6c07	'bell\x07'
6261636b087370616365	'back\x08space'
666f726d0c66656564	'form\x0cfeed'
767461620b	'vtab\x0b'
6e756c0062797465	'nul\x00byte'
1b5b33316d	'\x1b[31m'
64656c7f	'del\x7f'
c280c29f	'\x80\x9f'
6e627370c2a0	'nbsp\xa0'
736f6674c2ad68797068656e	'soft\xadhyphen'
636166c3a9	'café'
c3a9c3bcc3b1	'éüñ'
71756f746527696e22626f74685c7468726565	'quote\'in"both\\three'
27	"'"
22	'"'
5c	'\\'
2722	'\'"'
2227	'"\''
5c27	"\\'"
5c22	'\\"'
61616161616161616161616161616161616161616161616161616161616161616161616161616161	'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa'
6d69786564200920616e64202720616e64202220616e64205c20616e642001	'mixed \t and \' and " and \\ and \x01'
636f766572	'cover'
6c6971756964	'liquid'
676f6f676c65	'google'
6e6f726d616c	'normal'
696d616765	'image'
6461726b	'dark'
